GW,Team Rank,Formation,Total Score,GK Player,GK Club,GK Score,DEF Player,DEF Club,DEF Score,MID Player,MID Club,MID Score,FWD Player,FWD Club,FWD Score,Extra Player,Extra Club,Extra Position,Extra Score,GW Number
GW 579,1,Extra MID,468.7,Liam Kelly,Rangers FC,83.0,Milan Škriniar,Fenerbahçe Spor Kulübü,91.7,Nicolas Raskin,Rangers FC,100.0,Noa Lang,Galatasaray Spor Kulübü,97.7,Reo Hatate,Celtic FC,MID,96.3,579
GW 578,1,Extra FWD,206.2,André Onana,Trabzonspor Kulübü,28.3,Rômulo,Sporting Clube de Portugal,75.0,Richard Ríos,SL Benfica,39.4,Samy Merheg,Sporting Braga,32.4,Pau Víctor,Sporting Braga,FWD,31.1,578
GW 577,1,Extra DEF,469.9,Mert Günok,Fenerbahçe Spor Kulübü,83.2,John Mellberg,FC Red Bull Salzburg,100.0,Mohammed Diomandé,Rangers FC,96.4,Leroy Sané,Galatasaray Spor Kulübü,93.7,Eduardo Quaresma,Sporting Clube de Portugal,DEF,96.6,577
GW 576,1,Extra FWD,323.5,André Onana,Trabzonspor Kulübü,70.3,Leonardo Lelo,Sporting Braga,50.2,Gabri Veiga,FC Porto,35.7,Michel-Ange Balikwisha,Celtic FC,85.9,Luis Suárez,Sporting Clube de Portugal,FWD,81.4,576
GW 575,1,Extra MID,483.7,Viljami Sinisalo,Celtic FC,85.2,Alistair Johnston,Celtic FC,100.0,Rafa,SL Benfica,100.0,Trincão,Sporting Clube de Portugal,100.0,João Mendes,Vitória Guimarães SC,MID,98.5,575
GW 574,1,Extra MID,400.3,Alexander Schlager,FC Red Bull Salzburg,46.4,Jakub Kiwior,FC Porto,92.0,Soumaïla Diabaté,FC Red Bull Salzburg,100.0,Benjamin Nygren,Celtic FC,74.3,Mads Bidstrup,FC Red Bull Salzburg,MID,87.6,574
GW 573,1,Extra DEF,482.7,Anatolii Trubin,SL Benfica,87.0,Davinson Sánchez,Galatasaray Spor Kulübü,100.0,Gökhan Sazdağı,Beşiktaş Jimnastik Kulübü,100.0,Nene Dorgeles,Fenerbahçe Spor Kulübü,95.7,Michael Murillo,Beşiktaş Jimnastik Kulübü,DEF,100.0,573
GW 572,1,Extra MID,353.6,André Onana,Trabzonspor Kulübü,43.2,James Tavernier,Rangers FC,67.4,Mattéo Guendouzi,Fenerbahçe Spor Kulübü,98.0,Samy Merheg,Sporting Braga,65.5,Victor Froholdt,FC Porto,MID,79.5,572
GW 571,1,Extra FWD,462.2,Uğurcan Çakır,Galatasaray Spor Kulübü,72.4,Cameron Carter-Vickers,Celtic FC,100.0,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,93.2,Noa Lang,Galatasaray Spor Kulübü,98.7,Benjamin Nygren,Celtic FC,FWD,97.9,571
GW 570,1,Extra MID,357.9,Liam Kelly,Rangers FC,91.0,James Tavernier,Rangers FC,69.0,Richard Ríos,SL Benfica,69.1,Djeidi Gassama,Rangers FC,68.2,Thelonious Aasgaard,Rangers FC,MID,60.6,570
GW 569,1,Extra MID,443.0,Ross Doohan,Celtic FC,79.1,Wagner Pina,Trabzonspor Kulübü,98.5,Talisca,Fenerbahçe Spor Kulübü,94.2,Oliver Antman,Rangers FC,86.5,Mads Bidstrup,FC Red Bull Salzburg,MID,84.7,569
GW 568,1,Extra FWD,385.5,Ederson,Fenerbahçe Spor Kulübü,66.0,António Silva,SL Benfica,69.0,Fredrik Aursnes,SL Benfica,79.8,Kerem Aktürkoğlu,Fenerbahçe Spor Kulübü,96.2,Vangelis Pavlidis,SL Benfica,FWD,74.5,568
GW 567,1,Extra DEF,454.0,Viljami Sinisalo,Celtic FC,75.7,John Souttar,Rangers FC,95.7,Rafa,SL Benfica,94.6,Ricardo Horta,Sporting Braga,92.8,Leonardo Lelo,Sporting Braga,DEF,95.2,567
GW 566,1,Extra FWD,359.8,André Onana,Trabzonspor Kulübü,35.0,Wagner Pina,Trabzonspor Kulübü,60.0,Gökhan Sazdağı,Beşiktaş Jimnastik Kulübü,100.0,Václav Černý,Beşiktaş Jimnastik Kulübü,100.0,Bojan Miovski,Rangers FC,FWD,64.8,566
GW 565,1,Extra DEF,431.5,Kasper Schmeichel,Celtic FC,70.7,Georgios Vagiannidis,Sporting Clube de Portugal,97.6,Kristjan Asllani,Beşiktaş Jimnastik Kulübü,98.2,Bojan Miovski,Rangers FC,76.8,Milan Škriniar,Fenerbahçe Spor Kulübü,DEF,88.2,565
GW 564,1,Extra FWD,416.9,Diogo Costa,FC Porto,87.4,Anthony Ralston,Celtic FC,79.0,Kochorashvili,Sporting Clube de Portugal,80.7,Oğuz Aydın,Fenerbahçe Spor Kulübü,88.7,Kerem Aktürkoğlu,Fenerbahçe Spor Kulübü,FWD,81.1,564
GW 563,1,Extra MID,458.3,Uğurcan Çakır,Galatasaray Spor Kulübü,98.5,Frans Krätzig,FC Red Bull Salzburg,86.1,Nicolas Raskin,Rangers FC,90.8,Luis Suárez,Sporting Clube de Portugal,92.7,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,MID,90.2,563
GW 562,1,Extra DEF,395.8,André Onana,Trabzonspor Kulübü,39.5,Mert Müldür,Fenerbahçe Spor Kulübü,100.0,Borja Sainz,FC Porto,89.7,Felipe Augusto,Trabzonspor Kulübü,81.8,Nicolás Otamendi,SL Benfica,DEF,84.8,562
GW 561,1,Extra MID,463.4,Samuel Soares,SL Benfica,90.2,Leonardo Lelo,Sporting Braga,86.3,Enzo Barrenechea,SL Benfica,95.7,Oliver Antman,Rangers FC,100.0,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,MID,91.2,561
GW 560,1,Extra MID,375.3,Jack Butland,Rangers FC,64.2,Nicolás Otamendi,SL Benfica,61.5,Mattéo Guendouzi,Fenerbahçe Spor Kulübü,86.8,Václav Černý,Beşiktaş Jimnastik Kulübü,79.7,Mohammed Diomandé,Rangers FC,MID,83.1,560
GW 559,1,Extra DEF,439.1,Diogo Costa,FC Porto,77.2,Gustaf Lagerbielke,Sporting Braga,99.4,Arsenii Batahov,Trabzonspor Kulübü,74.9,Yang Hyun-Jun,Celtic FC,91.1,Zeno Debast,Sporting Clube de Portugal,DEF,96.5,559
GW 558,1,Extra FWD,441.6,Ederson,Fenerbahçe Spor Kulübü,86.2,James Tavernier,Rangers FC,88.1,Arne Engels,Celtic FC,100.0,Daizen Maeda,Celtic FC,85.3,Sota Kitano,FC Red Bull Salzburg,FWD,82.0,558
GW 557,1,Extra DEF,460.4,Lukáš Horníček,Sporting Braga,83.3,Samuel Dahl,SL Benfica,100.0,Rafa,SL Benfica,91.9,Roger Fernandes,Sporting Braga,88.8,Gustaf Lagerbielke,Sporting Braga,DEF,96.4,557
GW 556,1,Extra DEF,423.8,Rui Silva,Sporting Clube de Portugal,81.1,Eduardo Quaresma,Sporting Clube de Portugal,100.0,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,71.7,Luuk de Jong,FC Porto,82.4,Archibald Brown,Fenerbahçe Spor Kulübü,DEF,88.6,556
GW 555,1,Extra DEF,437.3,Ederson,Fenerbahçe Spor Kulübü,86.8,Auston Trusty,Celtic FC,94.5,Kartal Yılmaz,Beşiktaş Jimnastik Kulübü,78.9,Dodi Lukébakio,SL Benfica,89.3,Francisco Moura,FC Porto,DEF,87.8,555
GW 554,1,Extra DEF,424.5,Anatolii Trubin,SL Benfica,73.6,Nicolás Otamendi,SL Benfica,100.0,Geovany Quenda,Sporting Clube de Portugal,65.9,Sota Kitano,FC Red Bull Salzburg,99.6,Saracchi,Celtic FC,DEF,85.4,554
GW 553,1,Extra MID,473.9,Uğurcan Çakır,Galatasaray Spor Kulübü,95.0,Paulo Oliveira,Sporting Braga,98.6,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,93.7,Roger Fernandes,Sporting Braga,100.0,Anthony Nwakaeme,Trabzonspor Kulübü,MID,86.6,553
GW 552,1,Extra DEF,458.7,Kasper Schmeichel,Celtic FC,66.1,Alistair Johnston,Celtic FC,100.0,Arne Engels,Celtic FC,99.5,Daizen Maeda,Celtic FC,93.1,Cameron Carter-Vickers,Celtic FC,DEF,100.0,552
GW 551,1,Extra DEF,467.9,Uğurcan Çakır,Galatasaray Spor Kulübü,94.1,James Tavernier,Rangers FC,100.0,Manu,SL Benfica,92.5,Daizen Maeda,Celtic FC,91.8,Anthony Ralston,Celtic FC,DEF,89.5,551
GW 550,1,Extra DEF,406.1,Lukáš Horníček,Sporting Braga,79.9,James Tavernier,Rangers FC,89.9,Nicolas Raskin,Rangers FC,78.4,Ricardo Horta,Sporting Braga,72.9,Víctor Gómez,Sporting Braga,DEF,85.0,550
GW 549,1,Extra DEF,385.7,Anatolii Trubin,SL Benfica,73.7,Nicolás Otamendi,SL Benfica,80.3,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,75.8,Vangelis Pavlidis,SL Benfica,77.9,Saracchi,Celtic FC,DEF,78.0,549
GW 548,1,Extra DEF,453.1,Ederson,Fenerbahçe Spor Kulübü,77.2,Davinson Sánchez,Galatasaray Spor Kulübü,93.6,Alan Varela,FC Porto,100.0,Oğuz Aydın,Fenerbahçe Spor Kulübü,94.6,Ousmane Diomande,Sporting Clube de Portugal,DEF,87.7,548
GW 547,1,Extra DEF,447.6,Kasper Schmeichel,Celtic FC,78.5,Wilfried Singo,Galatasaray Spor Kulübü,92.5,Rafa,SL Benfica,100.0,Barış Yılmaz,Galatasaray Spor Kulübü,87.0,Nasser Djiga,Rangers FC,DEF,89.6,547
GW 546,1,Extra MID,468.6,Ederson,Fenerbahçe Spor Kulübü,82.5,Nicolás Otamendi,SL Benfica,94.4,Arsenii Batahov,Trabzonspor Kulübü,100.0,Ahmed Kutucu,Galatasaray Spor Kulübü,91.7,Leandro Barreiro,SL Benfica,MID,100.0,546
GW 545,1,Extra DEF,415.7,Liam Kelly,Rangers FC,82.0,Rıdvan Yılmaz,Beşiktaş Jimnastik Kulübü,90.6,Luke McCowan,Celtic FC,69.1,Leroy Sané,Galatasaray Spor Kulübü,93.7,Alistair Johnston,Celtic FC,DEF,80.3,545
GW 544,1,Extra MID,472.8,Ross Doohan,Celtic FC,89.0,Mert Müldür,Fenerbahçe Spor Kulübü,94.4,Edin Višća,Trabzonspor Kulübü,100.0,Yang Hyun-Jun,Celtic FC,89.4,Mohammed Diomandé,Rangers FC,MID,100.0,544
GW 543,1,Extra DEF,399.6,Kasper Schmeichel,Celtic FC,71.2,Cameron Carter-Vickers,Celtic FC,92.1,Callum McGregor,Celtic FC,72.3,Daizen Maeda,Celtic FC,82.4,Auston Trusty,Celtic FC,DEF,81.6,543
GW 542,1,Extra DEF,425.1,Kasper Schmeichel,Celtic FC,74.4,Auston Trusty,Celtic FC,97.6,Arne Engels,Celtic FC,79.2,Ahmed Kutucu,Galatasaray Spor Kulübü,78.0,Kaan Ayhan,Galatasaray Spor Kulübü,DEF,95.9,542
GW 541,1,Extra FWD,362.6,Liam Kelly,Rangers FC,60.9,Rıdvan Yılmaz,Beşiktaş Jimnastik Kulübü,73.5,Nicolas Raskin,Rangers FC,88.5,Djeidi Gassama,Rangers FC,79.7,Anthony Musaba,Fenerbahçe Spor Kulübü,FWD,60.0,541
GW 540,1,Extra DEF,431.5,Diogo Costa,FC Porto,69.5,Alberto Costa,FC Porto,100.0,Paulo Bernardo,Celtic FC,85.5,Roger Fernandes,Sporting Braga,76.8,Nehuen Pérez,FC Porto,DEF,99.7,540
GW 539,1,Extra DEF,431.6,Kasper Schmeichel,Celtic FC,62.0,Anthony Ralston,Celtic FC,100.0,Callum McGregor,Celtic FC,88.7,Andreas Skov Olsen,Rangers FC,80.9,Liam Scales,Celtic FC,DEF,100.0,539
GW 538,1,Extra FWD,453.6,Uğurcan Çakır,Galatasaray Spor Kulübü,78.4,Liam Scales,Celtic FC,99.2,Rodrigo Mora,FC Porto,80.0,Yunus Akgün,Galatasaray Spor Kulübü,100.0,Victor Osimhen,Galatasaray Spor Kulübü,FWD,96.0,538
GW 536,1,Extra DEF,452.7,Alexander Schlager,FC Red Bull Salzburg,65.8,Aleksa Terzić,FC Red Bull Salzburg,100.0,Manu,SL Benfica,95.0,Trincão,Sporting Clube de Portugal,95.4,Sikou Niakaté,Sporting Braga,DEF,96.5,536
GW 535,1,Extra DEF,431.3,Anatolii Trubin,SL Benfica,73.6,Alberto Costa,FC Porto,100.0,Tochi Chukwuani,Rangers FC,88.1,Fotis Ioannidis,Sporting Clube de Portugal,76.8,James Tavernier,Rangers FC,DEF,92.8,535
GW 534,1,Extra FWD,470.9,Kasper Schmeichel,Celtic FC,96.4,Emmanuel Agbadou,Beşiktaş Jimnastik Kulübü,100.0,James Forrest,Celtic FC,78.7,Roger Fernandes,Sporting Braga,100.0,Noa Lang,Galatasaray Spor Kulübü,FWD,95.8,534
GW 533,1,Extra MID,469.6,Kasper Schmeichel,Celtic FC,79.2,James Tavernier,Rangers FC,100.0,Richard Ríos,SL Benfica,100.0,Václav Černý,Beşiktaş Jimnastik Kulübü,94.6,Nicolas Raskin,Rangers FC,MID,95.8,533
GW 532,1,Extra DEF,468.7,Anatolii Trubin,SL Benfica,81.6,Liam Scales,Celtic FC,100.0,Luke McCowan,Celtic FC,100.0,Oğuz Aydın,Fenerbahçe Spor Kulübü,91.1,James Tavernier,Rangers FC,DEF,96.0,532
GW 531,1,Extra MID,411.6,Mert Günok,Fenerbahçe Spor Kulübü,54.5,Sikou Niakaté,Sporting Braga,85.7,Borja Sainz,FC Porto,97.8,Luis Suárez,Sporting Clube de Portugal,83.6,Richard Ríos,SL Benfica,MID,90.0,531
GW 530,1,Extra FWD,448.9,Uğurcan Çakır,Galatasaray Spor Kulübü,79.7,Cameron Carter-Vickers,Celtic FC,93.7,Mario Lemina,Galatasaray Spor Kulübü,88.2,Václav Černý,Beşiktaş Jimnastik Kulübü,100.0,Oğuz Aydın,Fenerbahçe Spor Kulübü,FWD,87.3,530
GW 529,1,Extra MID,311.5,Ederson,Fenerbahçe Spor Kulübü,42.1,Nicolás Otamendi,SL Benfica,67.1,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,70.4,Noa Lang,Galatasaray Spor Kulübü,67.4,Nedim Bajrami,Rangers FC,MID,64.5,529
GW 528,1,Extra DEF,387.2,Kasper Schmeichel,Celtic FC,98.1,John Souttar,Rangers FC,77.0,Morten Hjulmand,Sporting Clube de Portugal,68.0,Yunus Akgün,Galatasaray Spor Kulübü,72.6,Eren Elmalı,Galatasaray Spor Kulübü,DEF,71.5,528
GW 527,1,Extra MID,342.7,Alexander Schlager,FC Red Bull Salzburg,66.5,Liam Scales,Celtic FC,66.5,N'Golo Kanté,Fenerbahçe Spor Kulübü,85.0,Bojan Miovski,Rangers FC,43.7,Hidemasa Morita,Sporting Clube de Portugal,MID,81.0,527
GW 526,1,Extra DEF,461.7,Kasper Schmeichel,Celtic FC,93.4,Adrian Barišić,Sporting Braga,94.9,Marco Asensio,Fenerbahçe Spor Kulübü,91.2,Benjamin Nygren,Celtic FC,89.2,Tomás Araújo,SL Benfica,DEF,93.0,526
GW 525,1,Extra MID,447.6,André Onana,Trabzonspor Kulübü,80.1,Gustaf Lagerbielke,Sporting Braga,84.8,Manu,SL Benfica,100.0,Václav Černý,Beşiktaş Jimnastik Kulübü,88.3,Talisca,Fenerbahçe Spor Kulübü,MID,94.4,525
GW 524,1,Extra DEF,424.3,Diogo Costa,FC Porto,85.1,Martim Fernandes,FC Porto,90.4,Okay Yokuşlu,Trabzonspor Kulübü,82.0,Trincão,Sporting Clube de Portugal,82.7,Saracchi,Celtic FC,DEF,84.1,524
GW 523,1,Extra DEF,359.9,Jack Butland,Rangers FC,75.5,Auston Trusty,Celtic FC,80.8,Arne Engels,Celtic FC,87.2,Yang Hyun-Jun,Celtic FC,43.4,Alistair Johnston,Celtic FC,DEF,73.0,523
GW 522,1,Extra FWD,472.9,Rui Silva,Sporting Clube de Portugal,83.8,Alistair Johnston,Celtic FC,100.0,Ege Tıknaz,Sporting Braga,93.5,Kerem Aktürkoğlu,Fenerbahçe Spor Kulübü,100.0,Samu Omorodion,FC Porto,FWD,95.6,522
GW 521,1,Extra DEF,466.4,Kasper Schmeichel,Celtic FC,90.0,Felix Uduokhai,Beşiktaş Jimnastik Kulübü,100.0,Manu,SL Benfica,79.0,Václav Černý,Beşiktaş Jimnastik Kulübü,97.4,Gonçalo Inácio,Sporting Clube de Portugal,DEF,100.0,521
GW 520,1,Extra DEF,419.2,Mert Günok,Fenerbahçe Spor Kulübü,66.0,John Souttar,Rangers FC,95.0,Reo Hatate,Celtic FC,80.1,Luis Suárez,Sporting Clube de Portugal,90.7,Eren Elmalı,Galatasaray Spor Kulübü,DEF,87.4,520
GW 519,1,Extra DEF,309.3,Ederson,Fenerbahçe Spor Kulübü,67.0,Davinson Sánchez,Galatasaray Spor Kulübü,84.9,Richard Ríos,SL Benfica,48.6,Andreas Skov Olsen,Rangers FC,35.0,Nicolás Otamendi,SL Benfica,DEF,73.8,519
GW 518,1,Extra DEF,426.4,Anatolii Trubin,SL Benfica,72.8,Milan Škriniar,Fenerbahçe Spor Kulübü,91.3,Kristjan Asllani,Beşiktaş Jimnastik Kulübü,100.0,Kerem Aktürkoğlu,Fenerbahçe Spor Kulübü,87.9,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,DEF,74.4,518
GW 517,1,Extra MID,380.2,Alexander Schlager,FC Red Bull Salzburg,64.6,Liam Scales,Celtic FC,90.1,Mattéo Guendouzi,Fenerbahçe Spor Kulübü,82.4,Vangelis Pavlidis,SL Benfica,70.0,Hidemasa Morita,Sporting Clube de Portugal,MID,73.1,517
GW 516,1,Extra DEF,456.0,Jack Butland,Rangers FC,66.1,Chibuike Nwaiwu,Trabzonspor Kulübü,100.0,Maho Dorgeles,Sporting Braga,98.6,Yáser Asprilla,Galatasaray Spor Kulübü,94.3,Dominik Prpić,FC Porto,DEF,97.0,516
GW 515,1,Extra DEF,448.0,Anatolii Trubin,SL Benfica,67.1,Davinson Sánchez,Galatasaray Spor Kulübü,100.0,Ilkay Gündogan,Galatasaray Spor Kulübü,98.2,Yunus Akgün,Galatasaray Spor Kulübü,83.6,Alexander Bah,SL Benfica,DEF,99.1,515
GW 514,1,Extra MID,465.6,Jack Butland,Rangers FC,83.4,Zeno Debast,Sporting Clube de Portugal,86.4,Borja Sainz,FC Porto,100.0,Franjo Ivanović,SL Benfica,95.8,Paulo Bernardo,Celtic FC,MID,100.0,514
GW 513,1,Extra DEF,408.4,Jack Butland,Rangers FC,60.0,T. Strata,Vitória Guimarães SC,87.8,Nedim Bajrami,Rangers FC,96.4,Bruma,SL Benfica,86.1,James Tavernier,Rangers FC,DEF,78.1,513
GW 512,1,Extra DEF,460.8,André Onana,Trabzonspor Kulübü,77.6,Wilfried Singo,Galatasaray Spor Kulübü,100.0,Milot Rashica,Beşiktaş Jimnastik Kulübü,98.0,Bruma,SL Benfica,89.5,António Silva,SL Benfica,DEF,95.7,512
GW 511,1,Extra MID,452.2,Ederson,Fenerbahçe Spor Kulübü,76.7,Liam Scales,Celtic FC,97.0,Arne Engels,Celtic FC,100.0,Barış Yılmaz,Galatasaray Spor Kulübü,89.0,Anthony Nwakaeme,Trabzonspor Kulübü,MID,89.5,511
GW 510,1,Extra DEF,477.8,André Onana,Trabzonspor Kulübü,88.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,100.0,Gabriel Sara,Galatasaray Spor Kulübü,91.6,Trincão,Sporting Clube de Portugal,98.2,Felix Uduokhai,Beşiktaş Jimnastik Kulübü,DEF,100.0,510
GW 509,1,Extra MID,341.1,Anatolii Trubin,SL Benfica,29.6,Adrian Barišić,Sporting Braga,59.4,Kochorashvili,Sporting Clube de Portugal,94.9,Václav Černý,Beşiktaş Jimnastik Kulübü,68.6,Hidemasa Morita,Sporting Clube de Portugal,MID,88.6,509
GW 508,1,Extra FWD,411.7,Kasper Schmeichel,Celtic FC,72.0,Zeno Debast,Sporting Clube de Portugal,74.0,N'Golo Kanté,Fenerbahçe Spor Kulübü,82.4,Kerem Aktürkoğlu,Fenerbahçe Spor Kulübü,100.0,Fotis Ioannidis,Sporting Clube de Portugal,FWD,83.3,508
GW 507,1,Extra DEF,349.3,Kasper Schmeichel,Celtic FC,63.8,Milan Škriniar,Fenerbahçe Spor Kulübü,85.9,Morten Hjulmand,Sporting Clube de Portugal,60.0,Andreas Skov Olsen,Rangers FC,71.5,Nicolás Otamendi,SL Benfica,DEF,68.1,507
GW 506,1,Extra DEF,456.5,Uğurcan Çakır,Galatasaray Spor Kulübü,87.1,Alistair Johnston,Celtic FC,95.5,Mario Lemina,Galatasaray Spor Kulübü,95.3,Andreas Skov Olsen,Rangers FC,88.6,Emmanuel Agbadou,Beşiktaş Jimnastik Kulübü,DEF,90.0,506
GW 505,1,Extra FWD,400.9,Rui Silva,Sporting Clube de Portugal,66.5,Nasser Djiga,Rangers FC,69.1,Rafa,SL Benfica,100.0,Gabri Martínez,Sporting Braga,83.6,Ricardo Horta,Sporting Braga,FWD,81.7,505
GW 504,1,Extra DEF,458.1,Jack Butland,Rangers FC,73.8,Alistair Johnston,Celtic FC,100.0,Reo Hatate,Celtic FC,100.0,Gabri Martínez,Sporting Braga,84.3,Gonçalo Inácio,Sporting Clube de Portugal,DEF,100.0,504
GW 503,1,Extra MID,427.9,Uğurcan Çakır,Galatasaray Spor Kulübü,72.6,Thiago Silva,FC Porto,95.0,Vítor Carvalho,Sporting Braga,95.5,Fotis Ioannidis,Sporting Clube de Portugal,75.1,Rodrigo Zalazar,Sporting Braga,MID,89.7,503
GW 502,1,Extra MID,443.1,André Onana,Trabzonspor Kulübü,76.5,Alexander Bah,SL Benfica,90.5,Pedro Gonçalves,Sporting Clube de Portugal,100.0,Clement Bischoff,FC Red Bull Salzburg,84.5,Daniel Bragança,Sporting Clube de Portugal,MID,91.6,502
GW 501,1,Extra MID,384.4,Uğurcan Çakır,Galatasaray Spor Kulübü,53.5,Víctor Gómez,Sporting Braga,94.1,Manu,SL Benfica,87.5,Nene Dorgeles,Fenerbahçe Spor Kulübü,70.4,Vítor Carvalho,Sporting Braga,MID,78.9,501
GW 500,1,Extra DEF,469.6,Uğurcan Çakır,Galatasaray Spor Kulübü,84.4,Cameron Carter-Vickers,Celtic FC,100.0,Lucas Torreira,Galatasaray Spor Kulübü,97.0,Andreas Skov Olsen,Rangers FC,88.2,James Tavernier,Rangers FC,DEF,100.0,500
GW 499,1,Extra FWD,367.8,Uğurcan Çakır,Galatasaray Spor Kulübü,51.6,Ricardo Mangas,Sporting Clube de Portugal,81.3,Maurits Kjærgaard,FC Red Bull Salzburg,94.9,Clement Bischoff,FC Red Bull Salzburg,74.2,Nélson Oliveira,Vitória Guimarães SC,FWD,65.8,499
GW 498,1,Extra MID,448.2,Jack Butland,Rangers FC,78.2,Liam Scales,Celtic FC,100.0,Luke McCowan,Celtic FC,91.9,Sebastian Tounekti,Celtic FC,87.4,Maho Dorgeles,Sporting Braga,MID,90.7,498
GW 497,1,Extra MID,350.2,Uğurcan Çakır,Galatasaray Spor Kulübü,60.0,Ricardo Mangas,Sporting Clube de Portugal,70.0,Victor Froholdt,FC Porto,90.2,Amine El Ouazzani,Sporting Braga,60.0,Rodrigo Zalazar,Sporting Braga,MID,70.0,497
